normalized_title,doi_count,dois
deeplearningtomapabenchmarkdatasetofnonamputeeambulationforcontrollinganopensourcebionicleg,4,"[""10.1109/lra.2022.3194323"", ""10.36227/techrxiv.19941335.v2"", ""10.36227/techrxiv.19941335.v1"", ""10.36227/techrxiv.19941335""]"
questionandanswerclassificationinczechquestionansweringbenchmarkdataset,2,"[""10.5220/0007396907010706"", ""10.5220/0007396900002096""]"
sdfcdatasetalargescalebenchmarkdatasetforhyperspectralimageclassification,2,"[""10.21203/rs.3.rs-1938370/v1"", ""10.1007/s11082-022-04399-9""]"
overtwoyearsofchallengingenvironmentalconditionsforlocalizationtheipltdataset,2,"[""10.5220/0010518303830387"", ""10.5220/0010518300002994""]"
wahls4mlabenchmarkanddatasetformlacceleratorresourceestimation,2,"[""10.2172/2474968"", ""10.2172/2474974""]"
benchmarksurvey,2,"[""10.1201/9780429029264-10"", ""10.1201/9781420055474.ch10""]"
earlystagemelanomabenchmarkdataset,2,"[""10.20944/preprints202506.2001.v1"", ""10.3390/cancers17152476""]"
reviewfortheoreticalphysicsbenchmarktpbenchadatasetandstudyofaireasoningcapabilitiesintheoreticalphysics,2,"[""10.1088/2632-2153/adfcb0/v1/review2"", ""10.1088/2632-2153/adfcb0/v1/review1""]"
chemlotusabenchmarkdatasetofloticchemistryacrossusrivernetworks,4,"[""10.4211/hs.595e2ba483524feba22273e4dfbed190"", ""10.4211/hs.266099a29929423e9cec8bdb886b6a21"", ""10.4211/hs.9b2b865acc51481babc74599470a3bfccrossrefsubmissionstatus.pending"", ""10.4211/hs.9b2b865acc51481babc74599470a3bfc""]"
adatasetandbenchmarkforimagebasedpersianfoodrecognition,2,"[""10.2139/ssrn.5603875"", ""10.2139/ssrn.5603824""]"
evaluatingtransitionmetalbarrierheightswiththelatestdftexchangecorrelationfunctionalsthemobh35benchmarkdataset,2,"[""10.26434/chemrxiv.7732262.v1"", ""10.26434/chemrxiv.7732262.v2""]"
furniturebenchreproduciblerealworldbenchmarkforlonghorizoncomplexmanipulation,2,"[""10.15607/rss.2023.xix.041"", ""10.1177/02783649241304789""]"
parentalmonitoringmeasure,2,"[""10.1037/t31793-000"", ""10.1037/t36569-000""]"
reviewforstreamliningmaterialdegradationtestingcollaborativeroboticsforspecimenmonitoring,4,"[""10.1039/d5dd00016e/v1/review2"", ""10.1039/d5dd00016e/v2/review1"", ""10.1039/d5dd00016e/v1/review3"", ""10.1039/d5dd00016e/v1/review1""]"
decisionletterfortheoreticalphysicsbenchmarktpbenchadatasetandstudyofaireasoningcapabilitiesintheoreticalphysics,2,"[""10.1088/2632-2153/adfcb0/v2/decision1"", ""10.1088/2632-2153/adfcb0/v1/decision1""]"
